,Xi,Yi
1,151.391538,153.0582293
2,168.7912336,169.7696957
3,157.1055373,153.8099184
4,154.564653,159.8720918
5,163.6033886,162.7453158
6,162.4621776,160.9399145
7,157.5763221,155.453475
8,151.3901427,152.9585903
9,163.4877393,170.579613
10,160.4233256,175.877427
11,166.3053658,165.0354018
12,171.0344274,172.975908
13,150.5521842,150.9716612
14,164.9645223,159.8987021
15,167.5483355,170.4720358
16,168.7867968,177.0221441
17,161.8194938,156.7298625
18,154.3107259,147.1605009
19,158.0501274,158.4087411
20,158.4285889,164.3567221
21,155.7032161,151.8251222
22,170.2244346,173.9511784
23,162.9320664,170.0615897
24,169.2472737,166.4130618
25,156.3819627,151.6295749
26,162.04071,160.0591038
27,161.1342764,160.0835311
28,150.626691,163.5528073
29,157.2173298,160.7506461
30,169.960255,170.6275611
31,147.5992998,150.2826039
32,166.8987237,166.8697955
33,156.0579504,158.5281859
34,163.7254465,165.7484587
35,160.6221475,160.3343195
36,169.621399,168.2184932
37,156.1019054,148.643229
38,157.1719945,154.6710807
39,156.6200101,151.8836815
40,156.3445259,151.1538208
41,152.162985,155.4625627
42,151.9548434,148.8627404
43,158.4222782,156.7711959
44,164.7844431,167.700808
45,162.1053283,165.3120619
46,164.0397989,164.7160492
47,157.8837285,149.6610047
48,161.4723934,158.353819
49,165.9812507,168.5216716
50,154.6051096,162.7269704
51,165.8371,170.4780899
52,159.8341728,158.4238058
53,159.8768673,156.7816877
54,159.1339774,156.1366904
55,153.2672469,156.2361365
56,162.3526816,167.9650049
57,164.7163438,173.3670146
58,170.6550274,169.6999718
59,161.0471161,159.717899
60,153.7371772,158.3018447
61,158.4865996,159.8618743
62,159.5404425,154.5792554
63,153.5049345,156.0356118
64,165.9078533,167.1958896
65,156.0127038,153.5107473
66,161.0160253,165.5340372
67,153.9185632,155.6007463
68,160.8517588,160.9172638
69,161.5072913,169.6758812
70,160.8116151,163.976598
71,159.1343547,160.807241
72,157.7825513,159.4722157
73,152.8970372,152.380662
74,160.4611522,162.680163
75,153.3851342,154.3828057
76,159.2494589,168.0156059
77,162.8999144,165.0288507
78,167.5925757,167.6123836
79,162.5640898,161.903623
80,155.7102246,162.283633
81,158.5279344,161.0856212
82,158.9383628,156.6607338
83,156.2061379,167.1901054
84,154.4332713,159.4618378
85,156.4782764,154.5070221
86,158.5290998,164.5424848
87,154.7000943,161.847287
88,164.442076,162.3640007
89,159.9589482,168.9163873
90,166.6908965,164.8737203
91,159.4905394,167.8920314
92,159.0176595,165.6813704
93,166.7027107,162.9611984
94,156.4707822,162.9187342
95,158.3834689,165.6819098
96,160.5020733,160.3014277
97,161.2254194,159.1842028
98,159.0743281,166.4757749
99,158.9457695,159.5243078
100,168.3904228,165.485526
101,160.1597697,164.7304766
102,149.6688844,157.5936297
103,159.0159907,168.1898057
104,163.6653271,162.1519602
105,161.3421639,160.0482042
106,159.0123333,156.5106185
107,161.3524725,164.6284244
108,162.1682093,154.62457
109,160.0995446,163.4554763
110,169.4365495,156.2041714
111,150.4332063,152.1270475
112,165.2479095,166.0720926
113,156.732884,161.0017259
114,156.1517904,156.637033
115,162.6458503,166.8406083
116,156.66213,164.7775859
117,160.7719505,173.3485803
118,159.7034618,153.8652745
119,160.724154,156.2720599
120,160.1230836,155.6101045
121,162.8000848,160.9144874
122,166.8831853,162.5905268
123,159.6812634,170.8533957
124,163.0331784,173.2441648
125,162.848103,160.3303353
126,166.5143557,169.6769483
127,162.3097805,164.1667011
128,162.7810756,156.1464895
129,158.2929914,167.7557906
130,152.6563049,150.5586683
131,164.0273624,157.2998912
132,159.2338639,158.4024673
133,148.7109958,163.969072
134,159.000194,162.5453603
135,157.5413531,156.425821
