,Xi,Yi
1,96.589,101.293
2,98.916,97.878
3,98.89,99.522
4,101.784,101.097
5,98.196,97.558
6,96.747,101.048
7,99.49,92.328
8,100.696,96.704
9,100.219,98.756
10,101.651,96.915
11,95.934,102.158
12,96.609,99.452
13,96.585,98.813
14,97.836,101.063
15,99.787,102.584
16,99.607,102.817
17,100.128,96.901
18,103.619,92.854
19,97.402,104.189
20,104.652,100.312
21,94.773,99.581
22,98.149,99.216
23,93.087,103.894
24,101.407,100.83
25,94.227,104.165
26,95.529,97.844
27,98.306,104.793
28,99.359,102.402
29,96.456,101.861
30,93.067,101.045
31,100.063,98.69
32,97.363,98.28
33,99.172,102.539
34,94.568,98.939
35,94.247,95.834
36,97.981,103.356
37,101.759,102.969
38,98.767,103.858
39,100.46,99.38
40,95.077,98.856
41,98.442,96.54
42,97.322,99.719
43,101.76,96.926
44,96.212,99.665
45,92.216,101.866
46,99.805,99.334
47,94.68,100.548
48,NA,94.712
49,NA,102.494
50,NA,97.843
51,NA,103.684
52,NA,97.97
53,NA,101.549
54,NA,101.026
55,NA,98.174
56,NA,95.375
57,NA,101.682
58,NA,97.606
